Calendar Date,Week End Date,YYYY Mm,Queue,Vendor Location Detail,Agent Name,CSR Completed In Service Level,CSR Completed Out Of Service Level,CSR Complete Total,CSR Escalation,CSR Redirect Total,EPH Count,EPH Time,EPH,MSG Age
2014-09-04,2014-09-06,2014-09,SMB-Domains-Tech-FL,SMB - Agents,sushimd,6,0,6,1,0,6,13646,2,2869
2014-09-04,2014-09-06,2014-09,SMB-LocalBasic-Tech-FL,SMB - Agents,shafath,0,3,3,0,0,3,899,12,69011
2014-09-04,2014-09-06,2014-09,SMB-LocalEnhanced-Tech-FL,SMB - Agents,haritas,15,0,15,0,0,,,,6492
2014-09-04,2014-09-06,2014-09,SMB-LocalEnhanced-Tech-FL,SMB - Agents,lohitv,9,0,9,0,0,,,,3807
2014-09-04,2014-09-06,2014-09,SMB-LocalEnhanced-Tech-FL,SMB - Agents,shafath,1,0,1,0,0,,,,947
2014-09-04,2014-09-06,2014-09,SMB-LocalEnhanced-Tech-FL,SMB - Agents,sunilrd,4,0,4,0,0,,,,1707
2014-09-04,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,deenavb,1,0,1,0,0,1,272,13,518
2014-09-04,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,eshanan,2,0,2,0,0,2,3533,2,375
2014-09-04,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,haritas,4,0,4,0,1,5,5830,2,1702
2014-09-04,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,jaditya,3,0,3,0,0,4,10841,1,430
2014-09-04,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,lohitv,1,0,1,0,0,1,1737,2,111
2014-09-04,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,maryjert,11,0,11,1,2,13,24119,2,2470
2014-09-04,2014-09-06,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,sunilrd,3,0,3,0,0,5,625,17,51
2014-09-04,2014-09-06,2014-09,SMB-SMBOther-Tech-FL,SMB - Agents,dainva,0,3,3,0,0,4,14137,1,16071
