Calendar Date,Week End Date,YYYY Mm,Queue,Vendor Location Detail,Agent Name,CSR Completed In Service Level,CSR Completed Out Of Service Level,CSR Complete Total,CSR Escalation,CSR Redirect Total,EPH Count,EPH Time,EPH,MSG Age
9/3/2014,9/6/2014,2014-09,SMB-Domains-Tech-FL,SMB - Agents,bhuvanes,7,0,7,0,0,7,877,29,"4,227"
9/3/2014,9/6/2014,2014-09,SMB-Domains-Tech-FL,SMB - Agents,jitender,6,0,6,0,0,6,"5,914",4,"4,657"
9/3/2014,9/6/2014,2014-09,SMB-Domains-Tech-FL,SMB - Agents,raghavsa,27,0,27,0,0,27,"14,520",7,"17,388"
9/3/2014,9/6/2014,2014-09,SMB-Domains-Tech-FL,SMB - Agents,shirink,31,0,31,0,3,32,"22,358",5,"22,132"
9/3/2014,9/6/2014,2014-09,SMB-Domains-Tech-FL,SMB - Agents,sunilrd,1,0,1,0,0,1,240,15,"1,109"
9/3/2014,9/6/2014,2014-09,SMB-LocalBasic-Tech-FL,SMB - Agents,lohitv,0,4,4,0,0,4,"12,132",1,"121,044"
9/3/2014,9/6/2014,2014-09,SMB-LocalEnhanced-Tech-FL,SMB - Agents,haritas,7,0,7,0,0,,,,"4,883"
9/3/2014,9/6/2014,2014-09,SMB-LocalEnhanced-Tech-FL,SMB - Agents,lohitv,27,0,27,0,0,,,,"5,185"
9/3/2014,9/6/2014,2014-09,SMB-LocalEnhanced-Tech-FL,SMB - Agents,shafath,24,0,24,0,0,,,,"17,345"
9/3/2014,9/6/2014,2014-09,SMB-LocalEnhanced-Tech-FL,SMB - Agents,sunilrd,7,0,7,0,0,,,,"2,646"
9/3/2014,9/6/2014,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,arifha,1,0,1,0,0,1,97,37,15
9/3/2014,9/6/2014,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,dainva,2,0,2,0,0,2,"1,634",4,98
9/3/2014,9/6/2014,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,haritas,3,1,4,0,0,4,"10,652",1,"3,438"
9/3/2014,9/6/2014,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,lohitv,1,0,1,0,0,2,"2,155",2,765
9/3/2014,9/6/2014,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,maryjert,6,0,6,1,0,6,"18,079",1,"1,187"
9/3/2014,9/6/2014,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,shafath,2,0,2,0,0,2,42,171,4
9/3/2014,9/6/2014,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,suganyab,1,0,1,1,0,1,719,5,24
9/3/2014,9/6/2014,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,sunilrd,1,0,1,0,0,1,289,12,86
9/3/2014,9/6/2014,2014-09,SMB-MerchantSolutions-Tech-phone-FL,SMB - Agents,ashishk1,0,1,1,1,0,,,,"1,507"
9/3/2014,9/6/2014,2014-09,SMB-SMBOther-Tech-FL,SMB - Agents,sunilrd,1,0,1,0,0,1,"1,915",2,315
9/3/2014,9/6/2014,2014-09,SMB-SocialMedia-Tech-FL,SMB - Agents,dainva,41,0,41,0,0,41,"15,441",10,"40,822"
9/3/2014,9/6/2014,2014-09,SMB-TechSupport-Tech-FL,SMB - Agents,haritas,1,0,1,0,0,1,408,9,439
9/3/2014,9/6/2014,2014-09,SMB-TechSupport-Tech-FL,SMB - Agents,sunilrd,1,0,1,0,0,1,930,4,"1,096"
9/3/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,amreenb,25,0,25,0,0,25,"30,132",3,"5,462"
9/3/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,ancilava,6,0,6,0,0,6,"1,842",12,"1,066"
9/3/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,arifha,1,0,1,0,0,1,36,100,18
9/3/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,arunya,6,0,6,0,1,6,"3,160",7,"5,304"
9/3/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,ashishk1,9,0,9,0,0,10,"9,724",3,"4,059"
9/3/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,azmathm,18,0,18,0,0,17,"13,999",5,"13,894"
9/3/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,bharath1,27,0,27,1,0,27,"26,868",4,"22,651"
9/3/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,bhuvanes,8,0,8,0,0,11,"3,739",8,"2,884"
9/3/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,christur,8,0,8,0,0,8,"10,566",3,"6,471"
9/3/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,deenavb,22,0,22,0,0,22,"19,527",4,"12,373"
9/3/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,haritas,1,0,1,0,0,1,754,5,733
9/3/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,jitender,7,0,7,0,0,8,"2,884",9,"2,938"
9/3/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,maryjert,15,0,15,0,0,15,"13,239",4,"8,434"
9/3/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,sindhupk,13,0,13,0,0,13,"7,123",7,"3,892"
9/3/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,sunilrd,7,0,7,0,0,6,"6,057",4,"6,668"
9/3/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-FL,SMB - Agents,sushimd,17,0,17,0,0,18,"23,853",3,"3,905"
9/3/2014,9/6/2014,2014-09,SMB-WebHosting-Tech-phone-FL,SMB - Agents,arunya,1,0,1,0,0,,,,0
9/4/2014,9/6/2014,2014-09,SMB-BillingEscalations-Billing-ET,SMB - Escalation Team,abduljab,1,0,1,0,0,1,24,150,25
9/4/2014,9/6/2014,2014-09,SMB-BusinessMail-Tech-ET,SMB - Escalation Team,abduljab,0,1,1,0,0,2,"1,799",2,"2,010"
9/4/2014,9/6/2014,2014-09,SMB-BusinessMail-Tech-FL,SMB - Agents,ancilava,29,0,29,0,0,30,"14,673",7,"13,507"
9/4/2014,9/6/2014,2014-09,SMB-BusinessMail-Tech-FL,SMB - Agents,haritas,5,0,5,0,0,4,"5,179",3,"2,112"
